"Rs","T5","T10","Annual.Rs","Latitude","Longitude","Elevation","MAT","MAP","Forest.type","Longitude.1","Latitude.1","Year","Month"
1.8,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,11
1.38,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2010,12
1.31,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,3
2.31,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,4
2.76,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,5
3.12,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,6
3.26,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,7
2.5,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,8
2.76,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,9
2.4,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,10
1.55,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,11
1.33,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,770,13.6,1612,5,106.34,29.78,2011,12
0.82,18.8728541226216,15.5542857142857,654.7,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,1
1.01,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,2
1.21,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,3
1.44,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,4
2.23,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,5
2.71,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,6
3.05,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,7
2.35,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,8
1.76,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,9
1.86,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,10
1.24,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,11
0.94,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,760,13.6,1612,5,106.34,29.78,2011,12
1.91,15.7,14.04,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,4
2.59,18.02,17.87,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,5
3.34,21.15,19.27,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,6
3.9,22.71,21.39,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,7
2.8,23.54,22.21,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,8
2.69,18.32,18.41,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,9
1.95,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,10
1.49,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,11
1.38,9.28,15.5542857142857,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2011,12
2.01,16.34,15.44,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,4
2.25,18.42,17.9,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,5
3.08,21.4,19.99,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,6
2.45,22.8,21.82,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,7
2.21,23.94,22.12,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,8
1.82,18.51,18.14,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2012,9
1.95,15.9,14.01,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,4
2.4,17.02,16.22,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,5
3.3,21.25,19.29,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,6
4,22.46,21.63,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,7
2.67,23.24,22.27,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,8
2.84,18.6,18.5,923.831388888889,29.78,106.34,865,13.6,1612,5,106.34,29.78,2013,9
1.93,15.35,14.69,923.831388888889,29.83,106.37,760,13.6,1611,5,106.37,29.83,2012,4
2.37,16.85,16.3,923.831388888889,29.83,106.37,760,13.6,1611,5,106.37,29.83,2012,5
3.3,19.85,19.45,923.831388888889,29.83,106.37,760,13.6,1611,5,106.37,29.83,2012,6
4.06,21.92,21.9,923.831388888889,29.83,106.37,760,13.6,1611,5,106.37,29.83,2012,7
2.66,22.85,22.57,923.831388888889,29.83,106.37,760,13.6,1611,5,106.37,29.83,2012,8
2.96,18.8728541226216,15.5542857142857,703,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,7
3.21,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,8
2.58,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,9
1.83,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,10
1.57,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,11
1.13,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2010,12
1.27,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,3
2.02,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,4
2.33,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,5
2.63,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,6
2.74,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,7
2.28,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,8
2.32,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,9
2.01,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,10
1.35,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,11
1.01,18.8728541226216,15.5542857142857,923.831388888889,29.78,106.34,780,13.6,1612,6,106.34,29.78,2011,12
2.06,16.11,16.16,923.831388888889,29.83,106.37,830,13.6,1611,6,106.37,29.83,2012,4
2.35,17,16.31,923.831388888889,29.83,106.37,830,13.6,1611,6,106.37,29.83,2012,5
3.19,20.11,19.32,923.831388888889,29.83,106.37,830,13.6,1611,6,106.37,29.83,2012,6
4.38,22.36,21.81,923.831388888889,29.83,106.37,830,13.6,1611,6,106.37,29.83,2012,7
3.04,23.41,22.38,923.831388888889,29.83,106.37,830,13.6,1611,6,106.37,29.83,2012,8
2.03,16,15.53,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,4
2.87,17.37,16.8,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,5
3.38,20.49,20.06,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,6
4.04,20.79,19.9,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,7
3.01,21.68,20.13,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,8
2.16,19.42,18.97,923.831388888889,29.78,106.34,868,13.6,1612,16,106.34,29.78,2011,9
